TIMESTAMP,RECORD,BattV,calibrated_wind_speed
2025-01-26 11:30:00,17171.0,12.33,6.370950000000001
2025-01-26 11:31:00,17172.0,12.34,5.2853200000000005
2025-01-26 11:32:00,17173.0,12.34,4.801200000000001
2025-01-26 11:33:00,17174.0,12.34,4.17694
2025-01-26 11:34:00,17175.0,12.33,4.25429
2025-01-26 11:35:00,17176.0,12.33,5.1224300000000005
2025-01-26 11:36:00,17177.0,12.33,4.94043
2025-01-26 11:37:00,17178.0,12.33,4.22881
2025-01-26 11:38:00,17179.0,12.33,4.96409
2025-01-26 11:39:00,17180.0,12.33,4.07684
2025-01-26 11:40:00,17181.0,12.33,3.46441
2025-01-26 11:41:00,17182.0,12.33,2.9448
2025-01-26 11:42:00,17183.0,12.33,3.6445900000000004
2025-01-26 11:43:00,17184.0,12.33,4.63467
2025-01-26 11:44:00,17185.0,12.33,4.8439700000000006
2025-01-26 11:45:00,17186.0,12.33,4.13235
2025-01-26 11:46:00,17187.0,12.33,3.6682500000000005
2025-01-26 11:47:00,17188.0,12.33,4.60464
2025-01-26 11:48:00,17189.0,12.33,4.96591
2025-01-26 11:49:00,17190.0,12.33,6.3391
2025-01-26 11:50:00,17191.0,12.33,4.9167700000000005
2025-01-26 11:51:00,17192.0,12.33,4.97956
2025-01-26 11:52:00,17193.0,12.32,5.07875
2025-01-26 11:53:00,17194.0,12.32,5.75397
2025-01-26 11:54:00,17195.0,12.32,5.2725800000000005
2025-01-26 11:55:00,17196.0,12.32,5.11151
2025-01-26 11:56:00,17197.0,12.32,5.92596
2025-01-26 11:57:00,17198.0,12.32,6.75952
2025-01-26 11:58:00,17199.0,12.32,5.81494
2025-01-26 11:59:00,17200.0,12.32,5.09968
2025-01-26 12:00:00,17201.0,12.32,5.29624
2025-01-26 12:01:00,17202.0,12.32,4.5391200000000005
2025-01-26 12:02:00,17203.0,12.32,5.0105
2025-01-26 12:03:00,17204.0,12.32,5.56196
2025-01-26 12:04:00,17205.0,12.32,4.8348700000000004
2025-01-26 12:05:00,17206.0,12.32,5.54831
2025-01-26 12:06:00,17207.0,12.32,4.8740000000000006
2025-01-26 12:07:00,17208.0,12.32,5.543760000000001
2025-01-26 12:08:00,17209.0,12.32,6.650320000000001
2025-01-26 12:09:00,17210.0,12.32,6.54931
2025-01-26 12:10:00,17211.0,12.31,5.64477
2025-01-26 12:11:00,17212.0,12.31,6.77044
2025-01-26 12:12:00,17213.0,12.31,6.615740000000001
2025-01-26 12:13:00,17214.0,12.31,5.8604400000000005
2025-01-26 12:14:00,17215.0,12.31,5.70483
2025-01-26 12:15:00,17216.0,12.31,5.72212
2025-01-26 12:16:00,17217.0,12.31,5.19068
2025-01-26 12:17:00,17218.0,12.31,5.3745
2025-01-26 12:18:00,17219.0,12.31,6.19623
2025-01-26 12:19:00,17220.0,12.31,6.51928
2025-01-26 12:20:00,17221.0,12.31,5.92505
2025-01-26 12:21:00,17222.0,12.31,6.3664000000000005
2025-01-26 12:22:00,17223.0,12.31,6.916040000000001
2025-01-26 12:23:00,17224.0,12.31,7.376500000000001
2025-01-26 12:24:00,17225.0,12.31,6.61301
2025-01-26 12:25:00,17226.0,12.31,6.74223
2025-01-26 12:26:00,17227.0,12.31,5.629300000000001
2025-01-26 12:27:00,17228.0,12.3,6.5848
2025-01-26 12:28:00,17229.0,12.31,5.90048
2025-01-26 12:29:00,17230.0,12.3,6.36913
2025-01-26 12:30:00,17231.0,12.3,6.40007
2025-01-26 12:31:00,17232.0,12.3,6.13526
2025-01-26 12:32:00,17233.0,12.3,6.64213
2025-01-26 12:33:00,17234.0,12.3,7.4675
2025-01-26 12:34:00,17235.0,12.3,6.50745
2025-01-26 12:35:00,17236.0,12.3,5.70028
2025-01-26 12:36:00,17237.0,12.3,5.72121
2025-01-26 12:37:00,17238.0,12.3,6.39916
2025-01-26 12:38:00,17239.0,12.3,6.40644
2025-01-26 12:39:00,17240.0,12.3,6.79592
2025-01-26 12:40:00,17241.0,12.3,5.49098
2025-01-26 12:41:00,17242.0,12.3,6.510180000000001
2025-01-26 12:42:00,17243.0,12.3,6.6020900000000005
2025-01-26 12:43:00,17244.0,12.3,7.14536
2025-01-26 12:44:00,17245.0,12.3,6.998850000000001
2025-01-26 12:45:00,17246.0,12.3,6.4519400000000005
2025-01-26 12:46:00,17247.0,12.3,6.45831
2025-01-26 12:47:00,17248.0,12.3,6.7122
2025-01-26 12:48:00,17249.0,12.3,6.7941
2025-01-26 12:49:00,17250.0,12.3,7.3401
2025-01-26 12:50:00,17251.0,12.3,6.41372
2025-01-26 12:51:00,17252.0,12.3,7.19723
2025-01-26 12:52:00,17253.0,12.3,7.238180000000001
2025-01-26 12:53:00,17254.0,12.29,7.3401
2025-01-26 12:54:00,17255.0,12.29,6.96791
2025-01-26 12:55:00,17256.0,12.29,6.7440500000000005
2025-01-26 12:56:00,17257.0,12.29,6.68126
2025-01-26 12:57:00,17258.0,12.29,7.585800000000001
2025-01-26 12:58:00,17259.0,12.29,6.68308
2025-01-26 12:59:00,17260.0,12.29,6.577520000000001
2025-01-26 13:00:00,17261.0,12.29,7.5584999999999996
2025-01-26 13:01:00,17262.0,12.29,7.6222
2025-01-26 13:02:00,17263.0,12.29,7.440200000000001
2025-01-26 13:03:00,17264.0,12.29,7.3856
2025-01-26 13:04:00,17265.0,12.29,7.2491
2025-01-26 13:05:00,17266.0,12.29,6.277220000000001
2025-01-26 13:06:00,17267.0,12.28,6.58753
2025-01-26 13:07:00,17268.0,12.29,6.873270000000001
