TIMESTAMP,RECORD,BattV,calibrated_wind_speed
2025-01-26 14:35:00,21245.0,12.79,8.270000000000001
2025-01-26 14:36:00,21246.0,12.79,8.66
2025-01-26 14:37:00,21247.0,12.79,8.280000000000001
2025-01-26 14:38:00,21248.0,12.78,8.48
2025-01-26 14:39:00,21249.0,12.78,7.901
2025-01-26 14:40:00,21250.0,12.78,7.176
2025-01-26 14:41:00,21251.0,12.78,7.86
2025-01-26 14:42:00,21252.0,12.77,8.15
2025-01-26 14:43:00,21253.0,12.77,7.8389999999999995
2025-01-26 14:44:00,21254.0,12.77,9.260000000000002
2025-01-26 14:45:00,21255.0,12.77,10.440000000000001
2025-01-26 14:46:00,21256.0,12.76,9.97
2025-01-26 14:47:00,21257.0,12.75,9.290000000000001
2025-01-26 14:48:00,21258.0,12.74,9.680000000000001
2025-01-26 14:49:00,21259.0,12.74,9.25
2025-01-26 14:50:00,21260.0,12.73,7.41
2025-01-26 14:51:00,21261.0,12.73,7.145
2025-01-26 14:52:00,21262.0,12.72,8.430000000000001
2025-01-26 14:53:00,21263.0,12.66,10.190000000000001
2025-01-26 14:54:00,21264.0,12.64,9.13
2025-01-26 14:55:00,21265.0,12.78,8.71
2025-01-26 14:56:00,21266.0,12.78,9.690000000000001
2025-01-26 14:57:00,21267.0,12.77,9.88
2025-01-26 14:58:00,21268.0,12.76,9.41
2025-01-26 14:59:00,21269.0,12.75,7.908
2025-01-26 15:00:00,21270.0,12.73,8.63
2025-01-26 15:01:00,21271.0,12.73,7.888
2025-01-26 15:02:00,21272.0,12.71,7.274
2025-01-26 15:03:00,21273.0,12.65,8.64
2025-01-26 15:04:00,21274.0,12.68,8.46
2025-01-26 15:05:00,21275.0,12.67,9.610000000000001
2025-01-26 15:06:00,21276.0,12.66,9.75
2025-01-26 15:07:00,21277.0,12.65,10.16
2025-01-26 15:08:00,21278.0,12.65,10.75
2025-01-26 15:09:00,21279.0,12.65,9.930000000000001
2025-01-26 15:10:00,21280.0,12.62,9.73
2025-01-26 15:11:00,21281.0,12.75,9.98
2025-01-26 15:12:00,21282.0,12.73,10.08
